[0.000000] (-) TimerEvent: {}
[0.000098] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000130] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000141] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000152] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000161] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000171] (-) JobUnselected: {'identifier': 'my_aruco_to_goal_pose_pkg'}
[0.000181] (-) JobUnselected: {'identifier': 'my_bot_description'}
[0.000190] (-) JobUnselected: {'identifier': 'my_docking'}
[0.000199] (-) JobUnselected: {'identifier': 'my_slam_package'}
[0.000209] (-) JobUnselected: {'identifier': 'my_tf2_package'}
[0.000218] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000228] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000237] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000247] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000256] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000267] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000275] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000284] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000293] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000303] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000311] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000320] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000328] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000337] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000345] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000354] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000363] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000371] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000380] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000388] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000397] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000406] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000414] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000423] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000432] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000440] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000449] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000457] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000466] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000474] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000482] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000491] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000499] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000507] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000516] (-) JobUnselected: {'identifier': 'odrive_demo_bringup'}
[0.000525] (-) JobUnselected: {'identifier': 'odrive_demo_description'}
[0.000533] (-) JobUnselected: {'identifier': 'odrive_hardware_interface'}
[0.000542] (-) JobUnselected: {'identifier': 'odrive_ros2_control'}
[0.000550] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000558] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000568] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000576] (-) JobUnselected: {'identifier': 'ros2_aruco'}
[0.000585] (-) JobUnselected: {'identifier': 'ros2_aruco_interfaces'}
[0.000593] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.000602] (-) JobUnselected: {'identifier': 'teleop_twist_joy'}
[0.000610] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.000619] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.000628] (-) EventReactorShutdown: {}
